Length,Species
51.8,PSHB
54.1,PSHB
44.8,PSHB
47.5,PSHB
47.4,PSHB
55.5,PSHB
38.7,PSHB
54.7,PSHB
53.1,PSHB
52.5,PSHB
47.8,PSHB
49.8,PSHB
42.1,PSHB
47.8,PSHB
59.3,PSHB
48.0,PSHB
55.5,PSHB
59.0,PSHB
40.8,PSHB
52.4,PSHB
46.0,PSHB
49.2,PSHB
42.4,PSHB
50.4,PSHB
50.4,PSHB
54.7,GSOB
56.1,GSOB
51.5,GSOB
82.6,GSOB
45.2,GSOB
61.3,GSOB
47.6,GSOB
42.3,GSOB
60.3,GSOB
43.6,GSOB
58.7,GSOB
41.3,GSOB
60.6,GSOB
17.5,GSOB
49.6,GSOB
41.0,GSOB
19.9,GSOB
64.0,GSOB
69.7,GSOB
28.8,GSOB
56.2,GSOB
57.6,GSOB
60.2,GSOB
98.9,GSOB
34.8,GSOB
